Id,modularity_class,eigencentrality
fernandocastor,0,0.751562
filipeximenes,1,1.0
simoneas02,6,0.211671
renatooliveira,1,0.9946719999999999
lailsonbm,1,0.838433
marcelcaraciolo,1,0.687211
henvic,4,0.585929
guilhermefarias,7,0.451858
guiocavalcanti,1,0.52449
clovisdasilvaneto,4,0.291443
joselitojunior1,0,0.30229
arthuralvim,1,0.642351
gileno,1,0.6925359999999999
fjsj,1,0.617564
talitaoliveira,4,0.226341
mairatma,4,0.305014
gvc,1,0.656756
luiztiago,7,0.46692799999999995
pauloborba,0,0.299173
dakerfp,1,0.506877
interaminense,4,0.235529
victorlaerte,4,0.249115
thiagodiniz,1,0.5075390000000001
alsmoreira,10,0.138188
vinicius3w,0,0.15143900000000002
diegonvs,4,0.173652
alexpessoajr,4,0.213227
brunofarache,4,0.233073
brunnogomes,1,0.464207
marcellustavares,4,0.263825
jordanamorais,4,0.180635
irgmedeiros,6,0.43077600000000005
leopoldomt,0,0.19282
WandersonAlves,7,0.096472
brunobasto,4,0.232021
karlafalcao,0,0.166349
lmarinho,1,0.538884
Cisneiros,0,0.086396
miguelarauj1o,0,0.068426
gallindo,4,0.096072
felipedealbuquerque,6,0.05222
HaysaRodrigues,4,0.11800000000000001
luanfonceca,1,0.40624699999999997
patrickrbc,1,0.4087
filipevarjao,1,0.188251
roselmamendes,6,0.1649
embs,1,0.147196
araujoraphael,1,0.34947399999999995
cleydyr,4,0.129185
ovictoraurelio,5,0.028072000000000003
tuliohmendes,7,0.059164
victorcarrico,1,0.280506
jeftarmascarenhas,4,0.102855
nielsonsantana,1,0.24438200000000002
rafaprax,4,0.163186
paulorec,4,0.153299
inacionery,4,0.14596900000000002
lipse,1,0.22924299999999997
iagobelo,9,0.0818
julianalucena,1,0.10215
lhaisrs,6,0.052427
horaciojcfilho,0,0.050236
tomersimis,0,0.080813
JoaoGFarias,0,0.066513
dvro,1,0.248554
meiralins,1,0.307425
frankjuniorr,7,0.07709400000000001
leticiamachado,6,0.016188
peaonunes,0,0.027563
arthurmichel,7,0.11526600000000001
deyvisonrocha,7,0.10998599999999999
rodolfoestevam,9,0.041745
felipefarias,1,0.23494299999999999
rasoliveira,6,0.10381900000000001
pedroqueiroz,4,0.132374
henriquemenezes,1,0.14341500000000001
acmh,5,0.043414
yelken,7,0.038561
t0rr3sp3dr0,5,0.019219999999999998
ThaisaMirely,0,0.020933
dayvsonlima,7,0.063697
sgosantos,4,0.11619600000000001
brunolimawd,7,0.021544
eudesll,4,0.11904400000000001
pcstl,0,0.14890499999999998
allanragec,4,0.119806
lucascmelo,7,0.168211
eduardocruz,1,0.307514
albertmourato,4,0.098951
luizlago,7,0.038817000000000004
itsmealves,8,0.032359
fltiago,1,0.15596500000000002
dmesquita,0,0.052345
gcaraciolo,7,0.078327
leuthier,9,0.012237999999999999
andersonresende,1,0.142439
ramon-v,4,0.12281700000000001
rafoli,4,0.07109700000000001
omailson,1,0.193149
paulolieuthier,0,0.12004200000000001
vanessa,1,0.08532100000000001
TigerRobocop,4,0.100108
rvlb-19,5,0.018053
Lucas-CardosoO,5,0.015024000000000001
tarruda,0,0.058168
alinedoleron,4,0.10660399999999999
casevictor,1,0.065224
tancredosouza,5,0.016517
Masterfoni,10,0.012423
lubarinobr,4,0.015747
hamorim,7,0.072904
lpmourato,7,0.034414
favasconcelos,7,0.025349
guilhermepaiva,1,0.04655
ericbbraga,7,0.077952
AugustoQueiroz,5,0.01369
Leviterus,5,0.013844
jonathanslima,11,0.039332
djalmaafilho,7,0.004652
mateusrevoredo,11,0.013299
mayrarabelo,6,0.048199
dudurocha,1,0.303483
douglaslira,10,0.036716000000000006
FranciscoMarinho,7,0.040468000000000004
sergiohampel,7,0.11806199999999999
hnka,8,0.06340499999999999
brandizzi,4,0.099595
Vitor0liveira,9,0.025249
chocoelho,1,0.098944
gabrieldluca,5,0.012081
eltonrufino,6,0.032617
caionovaes,0,0.025608999999999996
wwcoderecife,10,0.053345000000000004
jrafaelm,1,0.147454
phbraga,5,0.016451
rsarai,1,0.024947
matheusmariano,8,0.010938
