Id,In-Degree,Modularity_Class,Eigen_Centrality
fernandocastor,47,2,0.746649
filipeximenes,37,0,0.9859540000000001
simoneas02,36,5,0.195723
renatooliveira,34,0,1.0
marcelcaraciolo,30,0,0.707887
lailsonbm,29,0,0.8526459999999999
henvic,25,4,0.584642
guilhermefarias,25,3,0.44957299999999994
guiocavalcanti,24,0,0.532367
joselitojunior1,23,2,0.294837
gileno,23,0,0.7035020000000001
clovisdasilvaneto,23,4,0.280085
arthuralvim,22,0,0.645738
fjsj,20,0,0.619587
mairatma,19,4,0.298519
luiztiago,18,3,0.47240200000000004
gvc,18,0,0.666011
talitaoliveira,16,2,0.195009
pauloborba,16,4,0.299543
dakerfp,15,0,0.5169050000000001
interaminense,14,4,0.21607800000000002
thiagodiniz,14,0,0.51417
victorlaerte,14,4,0.230059
alsmoreira,14,16,0.139746
diegonvs,14,4,0.163521
vinicius3w,13,2,0.157149
alexpessoajr,13,4,0.201478
brunofarache,13,4,0.226544
leopoldomt,12,4,0.19578199999999998
brunnogomes,12,0,0.475865
karlafalcao,12,12,0.172031
marcellustavares,12,4,0.260882
jordanamorais,12,4,0.170922
brunobasto,11,4,0.227807
irgmedeiros,11,0,0.435533
lmarinho,11,0,0.547409
roselmamendes,10,9,0.169876
ovictoraurelio,9,7,0.024648
WandersonAlves,9,12,0.079612
felipedealbuquerque,9,12,0.050863
tuliohmendes,9,12,0.058910000000000004
filipevarjao,9,0,0.192803
victorcarrico,9,0,0.27910100000000004
HaysaRodrigues,9,4,0.114879
araujoraphael,9,0,0.354356
luanfonceca,9,0,0.409584
patrickrbc,9,0,0.41434899999999997
nielsonsantana,8,0,0.24833899999999998
embs,8,0,0.142295
dvro,8,0,0.252477
frankjuniorr,8,6,0.076029
paulorec,8,4,0.148106
lipse,8,0,0.23307600000000003
Cisneiros,8,2,0.070781
jeftarmascarenhas,8,4,0.09163099999999999
rafaprax,8,4,0.15742
gallindo,8,4,0.077197
tomersimis,8,2,0.08101799999999999
meiralins,8,0,0.306121
horaciojcfilho,8,2,0.049579000000000005
yelken,7,5,0.035374
arthurmichel,7,3,0.116905
dayvsonlima,7,12,0.06474099999999999
rodolfoestevam,7,5,0.037197
julianalucena,7,0,0.09360299999999999
sgosantos,7,4,0.115004
pedroqueiroz,7,4,0.127151
felipefarias,7,0,0.231514
eudesll,7,4,0.11664200000000001
inacionery,7,4,0.12571300000000002
rasoliveira,7,9,0.107142
deyvisonrocha,7,3,0.11125
brunolimawd,7,12,0.022264
henriquemenezes,7,0,0.149077
ThaisaMirely,7,2,0.02094
lhaisrs,7,5,0.048817
cleydyr,7,4,0.11493699999999998
t0rr3sp3dr0,7,7,0.018555000000000002
peaonunes,7,2,0.029029000000000003
rvlb-19,6,10,0.015189
leticiamachado,6,5,0.01266
paulolieuthier,6,2,0.120103
andersonresende,6,0,0.139629
eduardocruz,6,0,0.31261500000000003
itsmealves,6,11,0.031764
pcstl,6,2,0.141173
TigerRobocop,6,5,0.093875
ramon-v,6,4,0.11921400000000001
iagobelo,6,5,0.05097
omailson,6,0,0.190573
rafoli,6,4,0.069391
gcaraciolo,6,12,0.076126
hamorim,5,12,0.075323
alinedoleron,5,4,0.1033
sergiohampel,5,3,0.118084
dudurocha,5,0,0.306001
lucascmelo,5,3,0.16807
tancredosouza,5,10,0.013094
tarruda,5,12,0.059314
vanessa,5,0,0.05400599999999999
mateusrevoredo,5,6,0.013685
leuthier,5,11,0.009370999999999999
casevictor,5,10,0.06678300000000001
lubarinobr,5,4,0.015512999999999999
favasconcelos,5,6,0.025823000000000002
Masterfoni,5,16,0.012706
Vitor0liveira,5,5,0.021648
acmh,5,7,0.037278
douglaslira,5,12,0.037538
brandizzi,5,4,0.095429
mayrarabelo,5,5,0.045086
luizlago,5,12,0.030418999999999998
jonathanslima,5,12,0.035266000000000006
ericbbraga,5,6,0.079166
FranciscoMarinho,5,6,0.041809
lpmourato,5,12,0.03402
Leviterus,5,7,0.013253000000000001
paulomenezes,5,11,0.022091999999999997
djalmaafilho,5,15,0.004672
fltiago,5,0,0.149324
andreldm,4,16,0.024905
jrafaelm,4,0,0.15085199999999999
