User,Followers,nFs,All_Followers,nF
fernandocastor,"joselitojunior1,filipeximenes,renatooliveira,henvic,fjsj,arthuralvim,guiocavalcanti,pcstl,horaciojcfilho,victorlaerte,henriquemenezes,karlafalcao,embs,dvro,victorcarrico,filipevarjao,irgmedeiros,JoaoGFarias,leopoldomt,ThaisaMirely,omailson,peaonunes,gabrieldluca,foolOnTheHill,atriciasabino,caionovaes,rcbop,penelopearaujo,luishmelo,macm3,felipealencar,mangueBit,Leviterus,rafaelfvcs,heitorpaceli,aacgn,rodrigodma,gilesv,eduardosm7,dayvisons,esdrascavalcs,itamarsilva,claudiopacheco,thomascristanis,adsonxzx,joaoMonte,arthurmagno,douglasventura",48,"guiocavalcanti,adrianomelo,tacsio,x8lucas8x,fjsj,JeffersonAlmeida,luisgabriel,renatooliveira,rafaelbrandao,omailson,vanessagl2,mateusgrb,embs,jessicabarbalho,frsoares,filipeximenes,tpbvieira,itamarsilva,paulofernando,pragmaticivan,karlafalcao,joselitojunior1,jessica,rmo,dnr2,leonardofeistauer,irgmedeiros,phds,jpmesquita,ismaquias,lets00,JoaoGFarias,marlonwc3,andreferreira,me,rodrigolc,fhferreira,kkrico,arthuralvim,vfranca,larissafalcao,guspit,DaviFernandes,victorcarrico,ThaisaMirely,haroldogtf,dayvisons,llaryssa,filipevarjao,pbsf,Bouckaert,Miliox,thomascristanis,lrlucena,jfsc,josinon,luanamartins,aserebrenik,felipeluna,isabellyfd,hails,esdrascavalcs,jeronimobs,alvarojoao,rafaelfvcs,vcs3,paulo4dm,horaciojcfilho,henriquemenezes,pouriaalmassi,cretchas,nandooliveira,caionovaes,foolOnTheHill,otaciliosilva,GuilhermeFSouza,rodrigodma,joaoMonte,peaonunes,rcbop,henvic,gilesv,meugenia1,vinniemoreira,Francisco,Cripa,atriciasabino,gabrieldluca,vianaweb,macm3,dvro,felipealencar,victorlaerte,adsonxzx,pazspm,claudiopacheco,steven,chien,mguilhermetavares,mangueBit,danaman87,lucasecf,pcstl,miqueiaspenha,thiago,silva,heitorpaceli,lnmds,arthurmagno,rcs9,LucasMendoncacc,WildCLown,mcorreafalcao,hilderlanherbert,brunabaudel,guedesbgeorge,aacgn,pjcsouza,eduardosm7,zegabr,brunoabdon,viniciusbischoff,EmersonVictor,Leviterus,penelopearaujo,douglasventura,brunomunizaf,TheDutchDevil,amrm121,thiago,carrilho,leopoldomt,luishmelo,pedrocaminhacin,gabrielpessoa1",129
filipeximenes,"luanfonceca,gileno,renatooliveira,luiztiago,fernandocastor,fjsj,arthuralvim,guilhermefarias,guiocavalcanti,roselmamendes,dakerfp,chocoelho,dvro,victorcarrico,vanessa,patrickrbc,brunnogomes,irgmedeiros,JoaoGFarias,mateusrevoredo,meiralins,felipefarias,lipse,lauromoura,nielsonsantana,rcbop,arineto,matheuslins,hugobessa,chicofilho,andersonberg,amandasavluchinske,wellington16,filipe0513,klebercode,antoniocorreia,victoracioli,diegobarcelar,Galtvan,warkentien2",40,"luisgabriel,renatooliveira,marciobarbosa,antoniocorreia,klebercode,fjsj,patrickrbc,brunocoelho,filipe0513,fabiocerqueira,victoracioli,eltonsantos,luanfonceca,fernandolins,lipse,essejonatas,luish,alcemirfernandes,arthuralvim,irgmedeiros,guilhermefarias,JoaoGFarias,gileno,jfunez,rafadaguiar,marcwebbie,Siffert,luiztiago,hugovasconcelos,guiocavalcanti,alcione,rafaelcaricio,Miicchhel,wellington16,meiralins,victorcarrico,frenetic,diegoguimaraes,sergiofontes,sergiomario,mateusgrb,mateusrevoredo,georgecariri,victorgutemberg,andersonfantini,israelsantiago,henrywm,danjesus,osmarfelix,nielsonsantana,pauloromeira,Santii,fun,osantana,raelmax,chicofilho,JonnatasCabral,secpybr,vanessagl2,phalt,gilsondev,rodrigoamaral,alvarojoao,vitorluz,drxos,silaspedrosa,dakerfp,matagus,warkentien2,CesarNog,felipevolpone,dvro,audreyr,ivensrocha,guilegarcia,mazulo,Tiago,Lira,diegobarcelar,Fluen,a3kku,rougeth,wsacin,felipefarias,matheusmlessa,luizbatista,edsoncelio,SamirSouzaSys,fernandosouza,fernandocastor,decko,tiagoamx,AlissonMMenezes,lscasanova,kenesparta,ayr,ton,roselmamendes,andersonberg,dlitvakb,Linux,Player,vidalvasconcelos,muriloviana,raimundonorberto,lnfnunes,rcbop,nicoddemus,FabioSilvaIT,eduardo,melo,chocoelho,pilgrim2go,SamuelsonH2T,jonasagx,gabrieljbl,thulioph,citec,ythecombinator,Archakov06,medeirosthiago,faeliaso,vpakg,violivei,laborautonomo,dzikri,srtab,elinaldosoft,matiasinsaurralde,udevril,luanfsf,4rshdeep,nadiabridge,arferreira,matheuslins,ebratz,morenice,simudream,heltonalves99,Williano,katiayn,valclemir,leogregianin,dalinhuang99,sarahraquel,guidiego,alfakini,royopa,bratomes,biancarosa,kamranhossain,myllenaalves,murat,yavuzer,josemalcher,KleberDarlan,icaromedeiros,abevieiramota,AlbertHambardzumyan,raisiqueira,matheusnascgomes,emaxees,hugobrilhante,joanasouza,hugobessa,vanessa,amandasavluchinske,mcold,danieldsf,lauromoura,EduardaGoulart,adrianomelo,brunnogomes,gabriel,silva,alessandroHenrique,aldemarf,adelmonsouza,anapaulagomes,m,nikhil,jvrmaia,arineto,Galtvan",177
simoneas02,"talitaoliveira,ktquez,pcstl,karlafalcao,kessiacastro,Suburbanno,iagobelo,mayrarabelo,ramonsantos,leticiamachado,WandersonAlves,alexjosesilva,TigerRobocop,leonardooo,eltonrufino,JohnsonMauro,filipewl,corallocatelli,grodrigues,Allansantosdefreitas,daicorrea,ronaldoveras,AnnyChien,abriela,mikeliguedes,tecavasconcelos,raisagalindo,witerbino,alicexmelo,magalhaesrebecca,karollmm,giuliosa,sheylacanutobf,lumaneto,silvinhamorais,tiagocalisto,rafamelima",37,"ElsonBarcelos,IsabelaDePaula,sergiockd,douglashenrique,jeancsanchez,Paulo,Sergio,luanamartins,anicelysantos,wellvsilva,alicexmelo,mayrarabelo,veridianaMelo,willany,WandersonAlves,BelinhaIsis,talitaoliveira,rafaelaccs,MichalPaszkiewicz,evinw,karinamachado,leonardooo,jucylene,edu,bot,GeysaPriscila,githubgirls,afonsopacifer,daliannyvieira,anazard,ruanmyv,phellipeandrade,emanuelrosa,Corlobin,oJuniorDev,yankasantos,cassiodourado1,witerbino,caiocss,lifei99,danilovaz,amaurycatelan,edmolima,danguilherme,fabiopichler,fredericksilva,theus,breitembach,ramonMontanhes,mjr,vitebo,vpozzebon,andrewsfg,izanf,correaecastro,marcelo,ribeiro,GleitonFranco,eniovalo,welll,ronal2do,welksonramos,raloliver,JulianoPadilha,ktquez,ribeiroevandro,yanmagale,flyingluscas,theuves,fxcosta,brunoluzweb,pcstl,whwss,klihelp,RhavilaMelo,cahfelix,ruanvalente,alexjosesilva,neonsec,zbandhan,TigerRobocop,hugocarreira,Jciel,gustavoquinalha,guionardo,phillipp,oliveira,silvaesouza,jobizzness,rafamelima,fpchemical,alanfm,ricardomirannda,brunosf,Allansantosdefreitas,karollmm,hc3,gabriel,silva,DudaFranca,marquinhosasis,eltonrufino,adammacias,Suburbanno,KevinHock,thiagommedeiros,ygorcosta,ligiasalzano,carl,alberto,gkal19,lemamon,thiagorl,paulohenriqueb,FelipeSamuel,yurifreitas,lieechan,suissa,avena,GiammaCarioca,ronalson,ramonsantos,JaoVizu,angelilton,valdemirfilho,fernandosouza,marioferreiraa,rafabiel,Jessica7,giuliosa,carloshpdoc,bfmjr,GuiAlmeida,gabrielbahniuk,michelmany,ademirferreira,michelgefuni,nicolaubrasil,nandomoreirame,nfultz,JoseCage,matheusbelt,emilianocarvalho,cenaion,mstraughan86,GabrielCzar,NataliaAvila,mayribeiro,victorsv91,filipewl,alexanmtz,dsamuel32,JohnsonMauro,ajunior,alexandroabade,ermysson,tiagocalisto,ronaldoveras,thiagodias63,Ninorp,onlurking,brunopereiradonascimento,frankfarias,01viniciusmelo,wallacesilva,pabloguardiao,nenodias,elienemb,grodrigues,rafaelporfirio,jbwestphal,emerson256,drcabral,silvinhamorais,JHugoSilva,alicaglayan,williansandro,thiagohofmeister,jamalchk,DaviRamosAndrade,ganobrega,utzig,lpirola,melissamoreira,matheusnascgomes,higordiego,israelsantiago,iagobelo,mtAlves,Edenizia,mikejavier,dudemelo,marcelogbrito,renanrboliveira,Bunlong,PamelaBeatriz,EmersonVictor,wellingtongeek,raisiqueira,ericknishimoto,karlafalcao,laerciosb,Jennycken,olgapinheiro,mikeliguedes,heathdutton,lisansouza,RaquelOliveira,bartier,diogosalmeida,Wellvergton,Ronaldonet89,leandrosimoes,SEdilson,actualnetwork,wellington1993,vinirossi,tjbarbosa,fabianavonsydow,leticiamachado,corallocatelli,patriciaaregis,daicorrea,kessiacastro,lucasoneves,3ZERO3,abriela,Letisouza,ingridnf,tecavasconcelos,raisagalindo,gabifdemelo,debcamila,AnnyChien,Camylaluiz,svirocha,magalhaesrebecca,lumaneto,manuelapereira,sheylacanutobf,ErickSimoes,MabiGermano,robbporto,arthurgeron,thaymara,camilars,danvitoriano,manzolirch,gladson,timothyjellison,meandor,alinessilva,thiagohcs,mensonones,leanfj,tatianecarneiro",250
renatooliveira,"joselitojunior1,luanfonceca,gileno,filipeximenes,luiztiago,fernandocastor,fjsj,arthuralvim,guiocavalcanti,roselmamendes,karlafalcao,chocoelho,thiagodiniz,embs,dvro,victorcarrico,patrickrbc,filipevarjao,brunnogomes,irgmedeiros,JoaoGFarias,meiralins,lipse,araujoraphael,lauromoura,isabarros,hugobessa,klebercode,antoniocorreia,felipesotero,rmd2,marcelolima,adailsonfilho,hugoesb,joaoluizdhv",35,"adrianomelo,x8lucas8x,luisgabriel,joselitojunior1,karlafalcao,vanessagl2,filipeximenes,embs,jessicabarbalho,rmd2,cacoze,hugobessa,fernandolins,patrickrbc,guilhermereis,felipeluna,filipevarjao,klebercode,filipemanuelofs,fjsj,mateusgrb,gustavopinto,rafaelcaricio,pantuza,victorgutemberg,matheuscburger,thiagodiniz,brunocoelho,araujoraphael,cesarFrias,luanfonceca,lipse,fabiocerqueira,marioidival,rodrigoamaral,deniscostadsc,joaoluizdhv,irgmedeiros,eltonsantos,osantana,rochacbruno,raelmax,gladson,heltonalves99,vitoriavasconcelos,gileno,avelino,felipecruz,gustavohenrique,JoaoGFarias,marcwebbie,jpsilvaj,marco,istccp,DiegoYungh,arthuralvim,laisvarejao,elife,cadu,leite,Zer0Root,Siffert,guiocavalcanti,dvro,isabarros,marcelolima,victorcarrico,luiztiago,pydanny,marlonwc3,sergiofontes,wellvsilva,guspit,frenetic,gabrieljbl,marcelorange,felipesotero,di3goleite,hugoesb,decko,humrochagf,sergiomario,RobertsonWeb,fernandovalente,meiralins,wyorgb,angusshire,edgabaldi,d4n1,eduardohitek,luanamartins,gilsondev,hallanmc,Miicchhel,alvarojoao,mileo,brunocasanova,cusspvz,jfunez,rodrigoclira,pprogrammer,guilhermemaba,shawnblue,nicolastrres,mazulo,cassiobotaro,fsouza,Fluen,oldoni,wsacin,ervilis,SamirSouzaSys,vmesel,Shuon,thulioph,lscasanova,adailsonfilho,brunohenrique,ottony,eduardo,melo,BernardoAT,roselmamendes,Linux,Player,beatrizuezu,muriloviana,cacarrara,caiovictormc,jairojair,ViniciusCPSouza,python,django,Kandibyala,yuvarajsekhar,thiagolacerdadesouza,citec,violivei,maurxeugenio,brunnogomes,chocoelho,faeliaso,rougeth,thonnycleuton,lnlsnb,paulopinda,oditorium,philippeoz,AsaK,leportella,dalinhuang99,italorossi,fernandocastor,orlandosaraivajr,dougfeltrim,antoniocorreia,leandrorochaadm,lucaslsl,jmateusousa,albbertim,kauegimenes,joanasouza,geraldo,netto,mdcg,gillisd,dennys,bd,abmaelsantos,walison17,pauloromeira,fcarvalhopacheco,jhonnyulisilva,lauromoura,gtalarico,anapauladsmendes",166
lailsonbm,"luanfonceca,gileno,filipeximenes,renatooliveira,fjsj,arthuralvim,guiocavalcanti,thiagodiniz,gvc,embs,dvro,patrickrbc,brunnogomes,mayrarabelo,lmarinho,hamorim,lipse,araujoraphael,guilhermepaiva,rsilvabr,isabarros,tacionery,fernandopereira,luizpaulogodoy,dmente03,victoracioli,willfelix,GeneseLessa,fracmt",29,"kraudio,lucasmncastro,chillicoder,lmarinho,gvc,constantinoneto,rafaelcaricio,adamalbrecht,brunnogomes,zezim,adonescunha,gileno,fernandopereira,gabrielcwa,rsilvabr,rodrigoclira,fjsj,thiagodiniz,dvro,luisgabriel,renatooliveira,tiagotobias2003,cirdes,sazzadh,antonio55,GeneseLessa,gedean,lipse,csjaba,ricardosbarbosa,fabiosl,brunocoelho,araujoraphael,pragmaticivan,victoracioli,filipeximenes,hamorim,sergiofontes,nandokakimoto,arthuralvim,guilhermepaiva,jmataya,corey,augustoppimenta,wilkerlucio,laisvarejao,elife,guiocavalcanti,isabarros,cristianounix,miguelgraz,vicmaster,luanfonceca,danjesus,fernandolins,renatocarvalho,patrickrbc,luisarlindo,antonioams,mayrarabelo,willfelix,angusshire,tacionery,fracmt,darosci,leojfreitas,embs,vinisouto,thnery,dmente03,eihror,efremfilho,KevinHock,luizpaulogodoy",73
marcelcaraciolo,"luanfonceca,gileno,filipeximenes,renatooliveira,fjsj,arthuralvim,henriquemenezes,karlafalcao,victorcarrico,thiagoarrais,patrickrbc,filipevarjao,brunnogomes,irgmedeiros,lipse,Gustavomagalhaes,daniellqueiroz,lauromoura,nielsonsantana,guilhermepaiva,geocarvalho,tcostam,jamissonfreitas,wellington16,klebercode,angelobrito,hugoesb,wbgalvao",28,"thiagoarrais,brunojm,henriquebastos,macndesign,andrewsmedina,matagus,fabiocerqueira,hltbra,ogrisel,fcurella,thulio,rafaelcaricio,thiagoh,frenetic,lipse,adonescunha,gileno,hjlewischen,flavioribeiro,rodrigoclira,jbochi,adrianomelo,rodrigoamaral,felipeborges,angelobrito,fjsj,douglas,claytonaalves,peicheng,rochacbruno,digabriel,lauromoura,druwynings,luisgabriel,duducosmos,henriquemenezes,renatooliveira,nielsonsantana,victorcase,renatocan,filipevarjao,rafaeldsantos,arthuralvim,uzix,seucolega,galvezz,brunocm,lucasaugustomcc,b1r3k,abellogin,0x8086,patrickrbc,shobhit,ddexter,jeppe,wtest,liuzhiquan,mt3,kplaube,neviim,loganrj,lucmichalski,was,manmadewind,sagarrakshe,vgoklani,netcaptors,bhakthan,amsqr,tgonzales,andlima,gladson,luzfcb,wiliamsouza,cesarFrias,danillosouza,rickcunha,pims,rsandrini,LucasMagnum,geofferyzh,abmxer,klebercode,gr33ndata,gustavopinto,amany,mm,hbmartin,beikome,filipemanuelofs,awper361,luanfonceca,filipeximenes,thiagosimonin,nellaivijay,perone,mdbecker,zedoul,pedrohasselmann,gabraganca,jgabriellima,leouieda,scw,luizirber,linkerlin,EmanEid,JT5D,irgmedeiros,boxme,gabrielpjordao,murilobsd,jonasporto,leotada,lboaretto,ensemblearner,amferraz,vitoriavasconcelos,ibrahimatay,lrezende,djadmin,adjeiessel,jpsilvaj,andrecosta90,psholtz,rbanffy,heliobentzen,chinnurtb,toninhonunes,DiegoVallely,tupy,marco,istccp,ickyatcity,DiegoYungh,anujku,fredericksilva,ivolima,nataliehan23,AndreAmorim,alfakini,samuelleach,aaoliveira,elinaldosoft,gustavodemari,shirobert,iory1987,gabstehr,dannyeuu,mishrm01,rsudharshan,cydu,daniellqueiroz,vambati,mosfilho,rafaelportela,josephmisiti,ralbahra,NatanJMai,alexfalcucci,givanaldo,matheuscburger,reinzteix1982,ivancrneto,osantana,guilhermepaiva,Miicchhel,puliyadivinod,HendryLi,vlslv,wellington16,waderly,chaoshengt,rafaelpiresm,kiscz,victorcarrico,rajpalkulhari,rafaelcassau,wellvsilva,ericmakita,marcelmfs,lelimat,kbahtus,ningyuwhut,shinhithi,cerdman,abnercarleto,slitayem,erolrecep,jadsonsol,max,85,8gnt,pauloromeira,eneskemalergin,raonyguimaraes,deniscostadsc,windeye,rodrigodealexandre,varunparkhe,rodcaseribe,ehnaton,meowoid,just4jin,geocarvalho,hugoesb,hijbul,carlosbertin,RoMartini33,vasasdani,larissaleite,wyorgb,davande,mohankalathi,cretchas,SabrinaPanceri,DevendraDesale,di3goleite,nleeandro,jrenato7,vparikh10,adivanslim,aburkov,gustavobmaia,Alastair,JavaRec,Wanderson77,babywolfusa,wsshopping,basil2style,JonnatasCabral,dilannery,mauriziofederici,alvarojoao,momolas,MENG2010,Gustavomagalhaes,ahlusar1989,chinnaiitb,Alafazam,faizankshaikh,angusshire,tyrielbr,amitmse,gauravssnl,orlandoxavier,silviomoreto,geankleber,Igor14Rafa,Sri0405,jasonlunardi,jorgegean,jamissonfreitas,turboic,harshvardhanraju,jacksongomesbr,trietptm,daurelioberlinsmartdata,matija077,yousuf031991,strategist922,pranshu28,philippe28,wsacin,Helengirl,vfranca,Flowerowl,luizhenriquesoares,paulomatos,jailsonsantos1987,Deepesh87,abhijitch,priancho,DevJoseWeb,xmnlab,rntdesign,MikkoF,flowes,magicleo,joyinsky,pavvu,Aridian1842,Jasmin25,siva2k16,fajk,graffaner,BillySurya,anuparna,santosandsilva,muhammedeltabakh,samantarayprasantkumar,thiagolacerdadesouza,lucecerqueira,vimalanandans,S,KSM,sarviovalente,HugoPorto,heltonalves99,vinipachecov,danilovbarbosa,Wesam266,smrjan,vanglian,georghildebrand,michelenazareth,brunnogomes,davuttam,richban,codinguncut,wbgalvao,marciolavrador,KevinHock,tcostam,jayme,anchante,wyangbs,minesh1291,gautamkmr,lsa1es,clenio77,nfultz,monajalal,italorossi,fcolnaghi,shyamagrawal786,algope,rishabhgarg7,kiwi4py,divyang4481,1marcushenrique,V1NAY8,abevieiramota,cristianounix,sngupta07,karlafalcao,danieldsf,lilangbr",330
guilhermefarias,"simoneas02,filipeximenes,luiztiago,henvic,clovisdasilvaneto,talitaoliveira,karlafalcao,patrickrbc,deyvisonrocha,arthurmichel,jeftarmascarenhas,gcaraciolo,lucascmelo,sergiohampel,yeltsin,paulinhoerry,viniciusgalvao,ronaldoveras,viniciuspolux,marcoshmendes,lucianojsjr,ivanAndrade,joaopaulosama,agcloud,andreximenes",25,"ivanAndrade,dodiegofly,iurimattos,lucascmelo,deyvisonrocha,mstred,luiztiago,fernandosouza,ErickSimoes,talitaoliveira,henvic,stark,br,emerson813,gusshmelo,filipeximenes,raisen,gustavokuklinski,eduardomelo,agencia,watermelons,patrickrbc,junogueira,pragmaticivan,kaiquewdev,dansantucci,brunocoelho,tonytamsf,thulioph,sergiohampel,IsabelaDePaula,simoneas02,davgit,agcloud,melnikovkolya,ronaldoveras,emersonbarros,djtulioo,paulinhoerry,arthurmichel,ppeixoto,joelvisroman,clovisdasilvaneto,gusreyes01,mikejavier,edvaldoszy,brunocasanova,cusspvz,marcosvolpato,mikegwhit,clarabatt,marinalimeira,deivisondfs2,andreximenes,cassiodourado1,veridianaMelo,luizbatista,jeftarmascarenhas,yankasantos,xgeo,hiranneri,gcaraciolo,jdorigao,taboca,yeltsin,viniciusgalvao,thiagoaymar,robsonbarbosajr,lucianojsjr,marcoshmendes,bernardojunior,JonathanCedrim,joaopaulosama,viniciuspolux,imandyie,dougcarvf,elsongabriel,LucasMonteiro1,felipesousa,di3goleite,Pe,Ferreira,karlafalcao",80
henvic,"mairatma,luiztiago,fjsj,arthuralvim,guilhermefarias,guiocavalcanti,interaminense,victorlaerte,diegonvs,gvc,tomersimis,patrickrbc,deyvisonrocha,alexpessoajr,meiralins,hnka,lucascmelo,albertmourato,grodrigues,sfilhu,mangueBit,rafaelfvcs,lucasbiagini,FernandaLandim,cConectando",25,"guiocavalcanti,fjsj,jamersonsilva,FernandaLandim,suissa,ivesbrito,fernandosouza,luizbatista,pragmaticivan,jaydson,alganet,luiztiago,guilhermefarias,gvc,lucascmelo,patrickrbc,cironunes,hgfischer,alcipir,brunocoelho,CavalcanteLeo,metanoia023,arthurnn,gusshmelo,deyvisonrocha,marlonwc3,eduardolundgren,Bindambc,tomersimis,hnka,jnettome,mairatma,igormatos,arthuralvim,pedrorezende,sergiofontes,charlenopires,ottony,Sisay25,lucasbiagini,marclundgren,zenorocha,eduardomelo,caionorder,isaquemelo,gtlima,guiajlopes,manishdipankar1711,DeyvsonL,SuriyaaKudoIsc,qhuy61,MarcellaMoura,almirfilho,chelogui,meiralins,nerdcalistenico,PauloPaquielli,eleete,thulioph,fredericksilva,cusspvz,ythecombinator,ajsb85,jonasagx,phpenterprise,jairojair,JRigotti,kivervinicius,irobayna,murat,aka,angusshire,mcanthony,di3goleite,rafaelfvcs,joaopedronardari,plcosta,ParinVachhani,leoschet,sfilhu,franciosi,bryceosterhaus,cust0m,moaxaca,flamecoals,matheuslugon,alisonmonteiro,evinw,brenohq,djalmaaraujo,pazspm,Ithildir,mthadley,jonnilundy,xWul,victorlaerte,brunabaudel,cConectando,tech,Prakash,alexpessoajr,mguilhermetavares,cauli,mauricionr,khaueviana,brunopulis,diogocezar,imandyie,dalinhuang99,kureikain,MichaelYusko,albertmourato,nullniverse,nfultz,grodrigues,leonardoelias,jturolla,diegonvs,interaminense,loopingz,figuarnieri,mateuschaves,akinhwan,mangueBit,ezeql,flowck,onaSousa",125
guiocavalcanti,"deividazevedo2,filipeximenes,renatooliveira,henvic,arthuralvim,henriquemenezes,karlafalcao,embs,filipevarjao,brunnogomes,paulolieuthier,hamorim,arthurms,lipse,peaonunes,rsilvabr,fltiago,filipewl,tacionery,soikmd2,dmente03,danilosoares,matheusmmx,adozrocha",24,"charlenopires,brunnogomes,adrianomelo,tacsio,dragondiego7,luisgabriel,renatooliveira,karlafalcao,luizbraga,fernandogrd,filipevarjao,soikmd2,henvic,embs,jessicabarbalho,matheusmmx,adozrocha,sergiofontes,danjesus,thaisbione,lipse,rrecio,filipeximenes,hamorim,fltiago,thigorqueiroz,danilosoares,rsilvabr,arthuralvim,RobertoBarros,arthurms,marcelocost,stevelyons,miguelgraz,fernandolins,rodrigoliimaa,MuneCms,saniyawilson,rrgayhart,mateusgrb,rodrigoclira,angusshire,deividazevedo2,henriquemenezes,ParinVachhani,tacionery,evinw,thnery,JIaccino,dmente03,eliehirschfield,peaonunes,violivei,paulolieuthier,KevinHock,filipewl,Bunlong,mateuschaves",58
clovisdasilvaneto,"simoneas02,talitaoliveira,ktquez,guilhermefarias,interaminense,diegonvs,gallindo,jordanamorais,alexpessoajr,arthurmichel,rafaprax,jeftarmascarenhas,alinedoleron,JohnsonMauro,grodrigues,adelmojnr,lucianojsjr,matequeiroz,manoelcyreno,witerbino,dashdanilo,xewertonfilipe,klaytondeoliveira,VictorManoel",24,"andremlsantos,edmundojr,andreferreira,me,jeftarmascarenhas,juliocarneiro,marviljoy,felipe,coelho,raphaelfabeni,robertocr,misabitencourt,dsprog,josemalcher,Gustavo,M,luisbrito,tiagoporto,Renatodeluna,yukatanabe,gabriel,seb,guilhermefarias,arthurmichel,realcoli,faelaphoenix,brunocesarweb,JoseCage,raisiqueira,gpedro,alexandroabade,tosipaulo,fredericksilva,mikejavier,lucasrrsimoes,gabrielkamimura,faeliaso,eduardolops,nicklima,hullen,miqueiaspenha,lucaslmuller,dayvson009,otahara,albinoneto,ftadashi,ismaelsantana,guszz,michelmany,rafaprax,igormatos,interaminense,rafael,henrique,oliveira,jQsafi,ktquez,ythecombinator,afonsopacifer,josejailton,fdaciuk,milacarrera,marceloramires,raloliver,Artenes,matiasev,leonardo403,manzettidenis,hevertoncastro,dann95,marcker,movibe,cristianounix,vitalves,luizhenriquesoares,audrincp,gideaoms,thulioph,karolinelemos,dashdanilo,alissonzampietro,klaytondeoliveira,VictorManoel,jorginhodev,danielnegrisolibatista,vitocaio,rafamaxber,lucasselliach,grodrigues,luanpontolio,bryceosterhaus,omariosouto,rogodev,lucianojsjr,adelmojnr,simoneas02,sergio02195,witerbino,EdsonBitaraes,leanfj,stoque,jordanamorais,jeffersonmourak,amaurycatelan,danielbasilio,xewertonfilipe,JulianoPadilha,jocelio,talitaoliveira,alexpessoajr,limatheus,manoelcyreno,diegonvs,fernandosouza,alinedoleron,minsle,matuzalemsteles,gallindo,akinhwan,JohnsonMauro,Jennycken,maiconboer,arthurdebiase,welksonramos,matheusnascgomes,SEdilson,giovanigchaves,matequeiroz,Narsejo",123
