Id,nFs_recifenses
fernandocastor,48
filipeximenes,40
simoneas02,37
renatooliveira,35
lailsonbm,29
marcelcaraciolo,28
guilhermefarias,25
henvic,25
guiocavalcanti,24
clovisdasilvaneto,24
joselitojunior1,23
gileno,23
arthuralvim,23
fjsj,20
talitaoliveira,20
mairatma,19
gvc,18
luiztiago,18
pauloborba,16
interaminense,15
dakerfp,15
vinicius3w,14
thiagodiniz,14
diegonvs,14
victorlaerte,14
alsmoreira,14
brunofarache,13
alexpessoajr,13
brunnogomes,12
jordanamorais,12
marcellustavares,12
lmarinho,11
leopoldomt,11
karlafalcao,11
irgmedeiros,11
brunobasto,11
WandersonAlves,11
miguelarauj1o,10
Cisneiros,10
patrickrbc,9
luanfonceca,9
jeftarmascarenhas,9
ovictoraurelio,9
araujoraphael,9
tuliohmendes,9
cleydyr,9
gallindo,9
roselmamendes,9
HaysaRodrigues,9
felipedealbuquerque,9
filipevarjao,9
victorcarrico,9
embs,9
iagobelo,8
dvro,8
nielsonsantana,8
tomersimis,8
JoaoGFarias,8
meiralins,8
inacionery,8
paulorec,8
rafaprax,8
julianalucena,8
lhaisrs,8
frankjuniorr,8
lipse,8
horaciojcfilho,8
pedroqueiroz,7
t0rr3sp3dr0,7
leticiamachado,7
felipefarias,7
yelken,7
dayvsonlima,7
rodolfoestevam,7
eudesll,7
ThaisaMirely,7
sgosantos,7
henriquemenezes,7
deyvisonrocha,7
pcstl,7
rasoliveira,7
allanragec,7
peaonunes,7
brunolimawd,7
acmh,7
arthurmichel,7
vanessa,6
gcaraciolo,6
luizlago,6
omailson,6
rvlb-19,6
Lucas-CardosoO,6
dmesquita,6
andersonresende,6
ramon-v,6
TigerRobocop,6
rafoli,6
eduardocruz,6
itsmealves,6
lucascmelo,6
leuthier,6
albertmourato,6
paulolieuthier,6
fltiago,6
favasconcelos,5
alinedoleron,5
djalmaafilho,5
Masterfoni,5
caiobsouza,5
hnka,5
FranciscoMarinho,5
brandizzi,5
gabrieldluca,5
lubarinobr,5
Vitor0liveira,5
sergiohampel,5
dudurocha,5
AugustoQueiroz,5
guilhermepaiva,5
tarruda,5
chocoelho,5
ericbbraga,5
Leviterus,5
douglaslira,5
mateusrevoredo,5
jonathanslima,5
hamorim,5
mayrarabelo,5
tancredosouza,5
casevictor,5
lpmourato,5
vmms16,4
wwcoderecife,4
andreldm,4
lhew,4
brunovpl,4
citiufpe,4
matheusmariano,4
caionovaes,4
rsarai,4
jrafaelm,4
corallocatelli,4
ThiagoAugustoSM,4
hugobessa,4
eltonrufino,4
filipewl,4
ac-pm,4
JohnsonMauro,4
cassiolpaixao90,4
paulomenezes,4
phbraga,4
eduardobaia,4
hfbassani,4
raony,4
arineto,4
ronaldoveras,4
guilhermebm,4
soikmd2,4
AnnyChien,4
PedroRossi,4
MiniMarvin,4
filipe0513,4
diogobrsantos,4
setanta,4
tobiasparaiso,4
aacgn,4
herbertt,4
AbrantesMar,4
soareswallace,4
fernandopereira,4
renatohlf,4
gppeixoto,4
igormp,4
luhanlacerda,3
walber,3
mauLeal,3
tcostam,3
bebetocf,3
victorpluna,3
renatoosousa,3
fehaa,3
klebercode,3
flpn,3
netoabel,3
saulobr88,3
paulobsa,3
jgfn1,3
almdac,3
ThomasSousa96,3
felypenery,3
jpedroh,3
igoriols,3
gustavomeloGH,3
isabarros,3
lbrito1,3
MatheusSouza12,3
Allansantosdefreitas,3
lvrma,3
felipesotero,3
lapl,3
DyogoViana,3
guilhermejccavalcanti,3
carvalhodj,3
abriela,3
chicofilho,3
aperrelli,3
andremelo87,3
pcosv,3
antoniocorreia,3
macm3,3
MichaelBarney,3
penelopearaujo,3
figueredo,3
rmd2,3
manoelcyreno,3
andersongns,3
bernardomelo,3
josealbino,3
antoniosj,3
alocjr,3
raquelguimaraes,3
rcaval,3
matheusFTC,3
lauromoura,3
mirjahal,3
Gustavomagalhaes,3
rafaelgsm,3
wagnerbeethoven,3
RodrigoCastiel,3
Juniorlimaivd,3
pereiragislene,3
alexodrosgomes,3
danilosoares,3
ktquez,3
adrielcafe,3
esdrascosta,3
daniellqueiroz,3
juliosmelo,3
douglas-queiroz,3
leoreinaux,3
sudorafa,2
gilesv,2
andreneto,2
marcoshmendes,2
tonnyvx,2
daniloBlera,2
marcosisocram,2
jcrbsa,2
thiagoprazeres,2
rafaelmotaalves,2
caiocaladoo,2
victorfsf,2
izaiasavila,2
ledebour,2
heitorpaceli,2
fms6,2
tpmarcs,2
guinetik,2
fchicout,2
WilbertoFilho,2
raisagalindo,2
giuliosa,2
pedroboudoux,2
rennanmoura1990,2
rbm4,2
rhnasc,2
joaopaulosama,2
mangueBit,2
brunosouza,2
feliperp-81,2
UdneyCarvalho,2
tonidas,2
ThomazFB,2
consensotec,2
ricardowendell,2
rpragana,2
wfsneto,2
adailsonfilho,2
felipedemacedo,2
alnp,2
BernardoHazin,2
PunishedBois,2
fecalemos,2
rcaferraz,2
Augusto94,2
fabiorush,2
jctvEC,2
erickapsilva,2
saulolso,2
tiagotrigo,2
LGR3,2
